team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,1.57,2.25
edward gaming,mad team,1.57,2.25
phong vu buffalo,flash wolves,2.25,1.57
afreeca freecs,g2 esports,1.61,2.2
royal never give up,cloud9,1.57,2.25
gen.g,team vitality,1.57,2.25
flash wolves,afreeca freecs,2.1,1.66
phong vu buffalo,g2 esports,2.1,1.66
100 thieves,fnatic,2.2,1.61
invictus gaming,g-rex,1.57,2.25
team vitality,cloud9,1.83,1.83
gen.g,royal never give up,2,1.72
mad team,kt rolster,2.62,1.44
team liquid,edward gaming,2.1,1.66
fnatic,invictus gaming,2.1,1.66
100 thieves,g-rex,1.9,1.8
royal never give up,team vitality,1.53,2.37
cloud9,gen.g,2.2,1.61
afreeca freecs,phong vu buffalo,1.36,3
g2 esports,flash wolves,2.1,1.66
invictus gaming,100 thieves,1.57,2.25
g-rex,fnatic,2.1,1.66
team liquid,mad team,1.61,2.2
kt rolster,edward gaming,1.66,2.1
