team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,1.5,2.5
edward gaming,mad team,1.5,2.5
phong vu buffalo,flash wolves,2.5,1.5
afreeca freecs,g2 esports,1.53,2.37
royal never give up,cloud9,1.5,2.5
gen.g,team vitality,1.5,2.5
flash wolves,afreeca freecs,2.2,1.61
phong vu buffalo,g2 esports,2.2,1.61
100 thieves,fnatic,2.2,1.61
invictus gaming,g-rex,1.5,2.5
team vitality,cloud9,1.83,1.83
gen.g,royal never give up,2,1.72
mad team,kt rolster,2.62,1.44
team liquid,edward gaming,2.1,1.66
fnatic,invictus gaming,2.2,1.61
100 thieves,g-rex,1.83,1.83
royal never give up,team vitality,1.44,2.62
cloud9,gen.g,2.37,1.53
afreeca freecs,phong vu buffalo,1.4,2.75
g2 esports,flash wolves,2.1,1.66
invictus gaming,100 thieves,1.44,2.62
g-rex,fnatic,2.2,1.61
team liquid,mad team,1.53,2.37
kt rolster,edward gaming,1.61,2.2
