team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,1.44,2.62
edward gaming,mad team,1.44,2.62
phong vu buffalo,flash wolves,2.75,1.4
afreeca freecs,g2 esports,1.44,2.62
royal never give up,cloud9,1.4,2.75
gen.g,team vitality,1.44,2.62
flash wolves,afreeca freecs,2.2,1.61
phong vu buffalo,g2 esports,2.37,1.53
100 thieves,fnatic,2.37,1.53
invictus gaming,g-rex,1.4,2.75
team vitality,cloud9,1.83,1.83
gen.g,royal never give up,2.1,1.66
mad team,kt rolster,3,1.36
team liquid,edward gaming,2.2,1.61
fnatic,invictus gaming,2.37,1.53
100 thieves,g-rex,1.9,1.8
royal never give up,team vitality,1.4,2.75
cloud9,gen.g,2.62,1.44
afreeca freecs,phong vu buffalo,1.36,3
g2 esports,flash wolves,2.2,1.61
invictus gaming,100 thieves,1.4,2.75
g-rex,fnatic,2.25,1.57
team liquid,mad team,1.44,2.62
kt rolster,edward gaming,1.57,2.25
