team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,2.37,1.53
edward gaming,mad team,3.25,1.33
phong vu buffalo,flash wolves,3,1.36
afreeca freecs,g2 esports,2.37,1.53
royal never give up,cloud9,3,1.36
gen.g,team vitality,2.37,1.53
flash wolves,afreeca freecs,1.53,2.37
phong vu buffalo,g2 esports,2.75,1.4
100 thieves,fnatic,2.37,1.53
invictus gaming,g-rex,2.75,1.4
team vitality,cloud9,2.37,1.53
gen.g,royal never give up,1.61,2.2
mad team,kt rolster,2.62,1.44
team liquid,edward gaming,2.5,1.5
fnatic,invictus gaming,2.5,1.5
100 thieves,g-rex,2.5,1.5
royal never give up,team vitality,3,1.36
cloud9,gen.g,2.37,1.53
afreeca freecs,phong vu buffalo,3.25,1.33
g2 esports,flash wolves,2.2,1.61
invictus gaming,100 thieves,2.75,1.4
g-rex,fnatic,2.5,1.5
team liquid,mad team,2.5,1.5
kt rolster,edward gaming,1.57,2.25
