team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,1.66,2.1
kt rolster,team liquid,1.8,1.9
edward gaming,mad team,1.83,1.83
phong vu buffalo,flash wolves,1.83,1.83
afreeca freecs,g2 esports,1.83,1.83
royal never give up,cloud9,1.83,1.83
gen.g,team vitality,1.83,1.83
flash wolves,afreeca freecs,1.83,1.83
phong vu buffalo,g2 esports,1.83,1.83
100 thieves,fnatic,1.83,1.83
invictus gaming,g-rex,1.83,1.83
team vitality,cloud9,1.83,1.83
gen.g,royal never give up,2.25,1.57
mad team,kt rolster,1.83,1.83
team liquid,edward gaming,1.83,1.83
fnatic,invictus gaming,1.66,2.1
100 thieves,g-rex,1.83,1.83
royal never give up,team vitality,1.83,1.83
cloud9,gen.g,1.83,1.83
afreeca freecs,phong vu buffalo,1.83,1.83
g2 esports,flash wolves,1.83,1.83
invictus gaming,100 thieves,1.83,1.83
g-rex,fnatic,1.83,1.83
team liquid,mad team,1.83,1.83
kt rolster,edward gaming,1.83,1.83
