team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,3,1.36
edward gaming,mad team,1.72,2
phong vu buffalo,flash wolves,3.25,1.33
afreeca freecs,g2 esports,1.72,2
royal never give up,cloud9,1.72,2
gen.g,team vitality,3,1.36
flash wolves,afreeca freecs,2.62,1.44
phong vu buffalo,g2 esports,2.75,1.4
100 thieves,fnatic,2.37,1.53
invictus gaming,g-rex,1.83,1.83
team vitality,cloud9,2.5,1.5
gen.g,royal never give up,2.25,1.57
mad team,kt rolster,2,1.72
team liquid,edward gaming,2.62,1.44
fnatic,invictus gaming,2.62,1.44
100 thieves,g-rex,2.5,1.5
royal never give up,team vitality,1.83,1.83
cloud9,gen.g,3.25,1.33
afreeca freecs,phong vu buffalo,2,1.72
g2 esports,flash wolves,2.5,1.5
invictus gaming,100 thieves,3.25,1.33
g-rex,fnatic,2.75,1.4
team liquid,mad team,2.5,1.5
kt rolster,edward gaming,2.62,1.44
